"Day","Sessions","Sessions with cart additions","Sessions that reached checkout","Sessions that completed checkout","Conversion rate","Day (previous_period)","Sessions (previous_period)","Sessions with cart additions (previous_period)","Sessions that reached checkout (previous_period)","Sessions that completed checkout (previous_period)","Conversion rate (previous_period)","Sessions (previous_period) ","Sessions with cart additions (previous_period) ","Sessions that reached checkout (previous_period) ","Sessions that completed checkout (previous_period) ","Conversion rate (previous_period) "
"2025-10-21",173,1,1,1,0.005780346820809248,"2025-09-20",44,2,2,2,0.045454545454545456,293.1818181818182,-50,-50,-50,-87.28323699421966
"2025-10-22",107,1,1,0,0,"2025-09-21",90,2,1,0,0,18.88888888888889,-50,0,,
"2025-10-23",90,1,1,0,0,"2025-09-22",106,3,3,0,0,-15.09433962264151,-66.66666666666667,-66.66666666666667,,
"2025-10-24",262,0,0,0,0,"2025-09-23",129,4,2,1,0.007751937984496124,103.10077519379846,-100,-100,-100,-100.00000000000001
"2025-10-25",333,5,4,3,0.009009009009009009,"2025-09-24",176,4,3,4,0.022727272727272728,89.20454545454545,25,33.333333333333336,-25,-60.36036036036036
"2025-10-26",144,4,5,0,0,"2025-09-25",164,2,1,0,0,-12.195121951219512,100,400,,
"2025-10-27",129,8,2,0,0,"2025-09-26",99,2,1,0,0,30.303030303030305,300,100,,
"2025-10-28",248,6,6,2,0.008064516129032258,"2025-09-27",55,3,1,0,0,350.90909090909093,100,500,,
"2025-10-29",293,5,3,1,0.0034129692832764505,"2025-09-28",79,2,2,0,0,270.88607594936707,150,50,,
"2025-10-30",289,7,2,0,0,"2025-09-29",91,3,3,1,0.01098901098901099,217.58241758241758,133.33333333333334,-33.333333333333336,-100,-100
"2025-10-31",148,7,6,2,0.013513513513513514,"2025-09-30",66,2,1,1,0.015151515151515152,124.24242424242425,250,500,100,-10.810810810810809
"2025-11-01",133,9,3,1,0.007518796992481203,"2025-10-01",141,3,4,0,0,-5.673758865248227,200,-25,,
"2025-11-02",211,13,4,3,0.014218009478672985,"2025-10-02",119,4,2,1,0.008403361344537815,77.3109243697479,225,100,200,69.19431279620854
"2025-11-03",191,18,9,2,0.010471204188481676,"2025-10-03",104,3,3,2,0.019230769230769232,83.65384615384616,500,200,0,-45.54973821989529
"2025-11-04",187,1,1,1,0.0053475935828877,"2025-10-04",110,5,3,1,0.00909090909090909,70,-80,-66.66666666666667,0,-41.1764705882353
"2025-11-05",122,4,3,3,0.02459016393442623,"2025-10-05",104,3,1,1,0.009615384615384616,17.307692307692307,33.333333333333336,200,200,155.73770491803276
"2025-11-06",79,3,2,2,0.02531645569620253,"2025-10-06",68,1,0,0,0,16.176470588235293,200,,,
"2025-11-07",136,1,0,0,0,"2025-10-07",123,5,4,1,0.008130081300813009,10.56910569105691,-80,-100,-100,-100
"2025-11-08",206,3,3,3,0.014563106796116505,"2025-10-08",81,3,2,1,0.012345679012345678,154.320987654321,0,50,200,17.961165048543698
"2025-11-09",202,2,2,2,0.009900990099009901,"2025-10-09",126,3,3,1,0.007936507936507936,60.317460317460316,-33.333333333333336,-33.333333333333336,100,24.75247524752476
"2025-11-10",230,4,2,1,0.004347826086956522,"2025-10-10",105,1,1,1,0.009523809523809525,119.04761904761905,300,100,0,-54.34782608695653
"2025-11-11",141,2,2,0,0,"2025-10-11",250,3,2,1,0.004,-43.6,-33.333333333333336,0,-100,-100
"2025-11-12",127,8,6,2,0.015748031496062992,"2025-10-12",64,5,2,1,0.015625,98.4375,60,200,100,0.7874015748031482
"2025-11-13",174,2,2,1,0.005747126436781609,"2025-10-13",138,3,1,0,0,26.08695652173913,-33.333333333333336,100,,
"2025-11-14",119,3,2,1,0.008403361344537815,"2025-10-14",101,1,1,0,0,17.821782178217823,200,100,,
"2025-11-15",84,1,1,1,0.011904761904761904,"2025-10-15",123,0,2,0,0,-31.70731707317073,,-50,,
"2025-11-16",106,2,3,0,0,"2025-10-16",148,1,1,0,0,-28.37837837837838,100,200,,
"2025-11-17",98,6,4,1,0.01020408163265306,"2025-10-17",106,2,2,1,0.009433962264150943,-7.547169811320755,200,100,0,8.163265306122444
"2025-11-18",81,2,2,1,0.012345679012345678,"2025-10-18",103,5,5,2,0.019417475728155338,-21.359223300970875,-60,-60,-50,-36.41975308641975
"2025-11-19",160,8,4,1,0.00625,"2025-10-19",55,1,1,0,0,190.9090909090909,700,300,,
"2025-11-20",62,2,0,0,0,"2025-10-20",66,1,1,0,0,181.8181818181818,,,,
