"Customer country","Customer region","Customer city","New customer records"
"HK","HK-NT","HK-NT-HongKong",2
"HK","HK-KL","HK-KL-KowloonTong",1
"US","US-NC","US-NC-Wilmington",1
"US","US-LA","US-LA-Marksville",1
"HK","HK-KL","HK-KL-KowloonBay",1
"HK","HK-HK","HK-HK-QuarryBay",1
"US","US-CA","US-CA-SantaBarbara",1
"US","US-TX","US-TX-Richmond",1
"HK","HK-HK","HK-HK-Central",1
"US","US-NH","US-NH-Plaistow",1
"US","US-MO","US-MO-MountVernon",1
"US","US-MD","US-MD-Monkton",1
"DE",,"ZZ",1
"US","US-ME","US-ME-SouthBerwick",1
"HK","HK-HK","HK-HK-WanChai",1
"AU","AU-VIC","AU-VIC-Fairfield",1
"US","US-ND","US-ND-Oakes",1
"US","US-ME","US-ME-Bath",1
"ID","ID-BA","ZZ",1
"HK",,,1
"CA","CA-AB","CA-AB-GrandePrairie",1
"US","US-MA","US-MA-Westfield",1
"US","US-NJ","US-NJ-NorthBrunswick",1
"US","US-ME","US-ME-Saco",1
"AU","AU-NSW","AU-NSW-Grenfell",1
"HK","HK-NT","HK-NT-YuenLong",1
"US","US-CT","US-CT-Harwinton",1
"US","US-NV","US-NV-LasVegas",1
"US","US-AR","US-AR-NorthLittleRock",1
"HK","HK-NT","HK-NT-ShaTin",1
"US","US-MN","US-MN-Hawley",1
"US","US-TX","US-TX-Austin",1
"US","US-NC","US-NC-FuquayVarina",1
"US","US-CA","US-CA-SanFrancisco",1
"US","US-TX","US-TX-Whitney",1
"US","US-DE","US-DE-Newark",1
"AU","AU-VIC","AU-VIC-Charlton",1
