"Day","Sale ID","Order name","Product title at time of sale","Product variant title at time of sale","Net sales with cost recorded","Cost of goods sold","Gross profit"
"2025-10-21",20695614554402,"#1067","DreamShade 3D Sleep Mask","Navy Blue / No",29,2.28,26.72
"2025-10-22",,,,,0,0,0
"2025-10-23",,,,,0,0,0
"2025-10-24",20709542953250,"#1055","DreamShield Blue Light Blocking Glasses","Yellow / Glass Frame",-55,-8,-47
"2025-10-25",20713279619362,"#1069","DreamShade 3D Sleep Mask","Navy Blue / No",33.99,2.28,31.71
"2025-10-25",20712612692258,"#1068","DreamShade 3D Sleep Mask","Black / No",33.99,2.36,31.63
"2025-10-25",20713426092322,"#1070","DreamShade 3D Sleep Mask","Black / No",30.6,2.36,28.24
"2025-10-26",,,,,0,0,0
"2025-10-27",,,,,0,0,0
"2025-10-28",20724662927650,"#1071","DreamShade 3D Sleep Mask","Biege / No",33.99,2.36,31.63
"2025-10-28",20726462710050,"#1072","DreamShade 3D Sleep Mask","Green / No",34.1,2.28,31.82
"2025-10-28",20726462644514,"#1072","DreamShade 3D Sleep Mask","Red / No",34.1,2.57,31.53
"2025-10-28",20726462677282,"#1072","DreamShade 3D Sleep Mask","Navy Blue / No",34.1,2.28,31.82
"2025-10-29",20728775573794,"#1073","DreamShade 3D Sleep Mask","Navy Blue / No",34.11,2.28,31.83
"2025-10-30",,,,,0,0,0
"2025-10-31",20743517274402,"#1075","DreamShade 3D Sleep Mask","Black / No",34.1,2.36,31.74
"2025-11-01",,,,,0,0,0
"2025-11-02",,,,,0,0,0
"2025-11-03",20753163551010,"#1080","DreamShade 3D Sleep Mask","Navy Blue / No",33.99,2.28,31.71
"2025-11-03",20753163518242,"#1080","DreamShade 3D Sleep Mask","Black / No",67.98,4.72,63.26
"2025-11-03",20754124407074,"#1081","DreamShade 3D Sleep Mask","Navy Blue / No",34.09,2.28,31.81
"2025-11-04",,,,,0,0,0
"2025-11-05",20939529486626,"#1084","DreamShade 3D Sleep Mask","Navy Blue / No",33.99,2.28,31.71
"2025-11-06",21069281263906,"#1087","DreamShield Blue Light Blocking Glasses","Orange / Glass Frame",56.78,8,48.78
"2025-11-06",21067612520738,"#1086","DreamShade 3D Sleep Mask","Navy Blue / No",34.09,2.28,31.81
"2025-11-06",21069281231138,"#1087","DreamShade 3D Sleep Mask","Black / No",27.6,2.36,25.24
"2025-11-07",,,,,0,0,0
"2025-11-08",,,,,0,0,0
"2025-11-09",21082039943458,"#1092","DreamShade 3D Sleep Mask","Navy Blue / No",34.07,2.28,31.79
"2025-11-10",,,,,0,0,0
"2025-11-11",,,,,0,0,0
"2025-11-12",21099363238178,"#1095","DreamShield Blue Light Blocking Glasses","Orange / Glass Frame",62.86,8,54.86
"2025-11-13",21123625976098,"#1096","DreamShade 3D Sleep Mask","Black / No",33.99,2.36,31.63
"2025-11-14",21129725509922,"#1097","DreamShade 3D Sleep Mask","Black / No",35.24,2.36,32.88
"2025-11-15",,,,,0,0,0
"2025-11-16",,,,,0,0,0
"2025-11-17",,,,,0,0,0
"2025-11-18",,,,,0,0,0
"2025-11-19",,,,,0,0,0
"2025-11-20",,,,,0,0,0
