"Day","Sale ID","Order name","Product title at time of sale","Net sales"
"2025-10-21",20695614554402,"#1067","DreamShade 3D Sleep Mask",29
"2025-10-21",20695614587170,"#1067",,0
"2025-10-22",,,,0
"2025-10-23",,,,0
"2025-10-24",20709542986018,"#1055",,0
"2025-10-24",20713246064930,"#1055",,-59.21
"2025-10-24",20709543018786,"#1055",,59.21
"2025-10-24",20709542953250,"#1055","DreamShield Blue Light Blocking Glasses",-55
"2025-10-25",20713426125090,"#1070",,0
"2025-10-25",20713279619362,"#1069","DreamShade 3D Sleep Mask",33.99
"2025-10-25",20713426092322,"#1070","DreamShade 3D Sleep Mask",30.6
"2025-10-25",20712612692258,"#1068","DreamShade 3D Sleep Mask",33.99
"2025-10-25",20713279652130,"#1069",,0
"2025-10-25",20712612725026,"#1068",,0
"2025-10-26",,,,0
"2025-10-27",,,,0
"2025-10-28",20726462710050,"#1072","DreamShade 3D Sleep Mask",34.1
"2025-10-28",20726462644514,"#1072","DreamShade 3D Sleep Mask",34.1
"2025-10-28",20726462677282,"#1072","DreamShade 3D Sleep Mask",34.1
"2025-10-28",20724662960418,"#1071",,0
"2025-10-28",20724662927650,"#1071","DreamShade 3D Sleep Mask",33.99
"2025-10-28",20726462742818,"#1072",,0
"2025-10-29",20728775606562,"#1073",,0
"2025-10-29",20728775573794,"#1073","DreamShade 3D Sleep Mask",34.11
"2025-10-30",,,,0
"2025-10-31",20739584688418,"#1074","DreamRevive 16-Head Massager",129.99
"2025-10-31",20743517274402,"#1075","DreamShade 3D Sleep Mask",34.1
"2025-10-31",20739584721186,"#1074",,0
"2025-10-31",20743517307170,"#1075",,0
"2025-11-01",20745771483426,"#1076","Free 5-Step Evening Sleep Ritual Guide for Better Sleep",0
"2025-11-02",20751129739554,"#1079","Free 5-Step Evening Sleep Ritual Guide for Better Sleep",0
"2025-11-02",20750914978082,"#1078","DreamBreathe Electric Anti-Snoring Respirator",34.99
"2025-11-02",20749794738466,"#1077",,0
"2025-11-02",20749794705698,"#1077","DreamBreathe Electric Anti-Snoring Respirator",34.99
"2025-11-02",20751129772322,"#1079","DreamRevive 16-Head Massager",104
"2025-11-02",20750915010850,"#1078",,0
"2025-11-02",20751129805090,"#1079",,0
"2025-11-03",20753163518242,"#1080","DreamShade 3D Sleep Mask",67.98
"2025-11-03",20753163551010,"#1080","DreamShade 3D Sleep Mask",33.99
"2025-11-03",20753163583778,"#1080",,0
"2025-11-03",20754124407074,"#1081","DreamShade 3D Sleep Mask",34.09
"2025-11-03",20754124439842,"#1081",,0
"2025-11-04",20768567591202,"#1082",,0
"2025-11-04",20768567558434,"#1082","DreamRevive 16-Head Massager",129.99
"2025-11-05",20939529486626,"#1084","DreamShade 3D Sleep Mask",33.99
"2025-11-05",20962688303394,"#1085","DreamRevive 16-Head Massager",129.99
"2025-11-05",20962688336162,"#1085",,0
"2025-11-05",20939529519394,"#1084",,0
"2025-11-05",20904958886178,"#1083",,0
"2025-11-05",20904958853410,"#1083","DreamRevive 16-Head Massager",129.99
"2025-11-06",21069281263906,"#1087","DreamShield Blue Light Blocking Glasses",56.78
"2025-11-06",21069281296674,"#1087",,0
"2025-11-06",21067612520738,"#1086","DreamShade 3D Sleep Mask",34.09
"2025-11-06",21069281231138,"#1087","DreamShade 3D Sleep Mask",27.6
"2025-11-06",21067612553506,"#1086",,0
"2025-11-07",,,,0
"2025-11-08",21075678953762,"#1088",,0
"2025-11-08",21078133834018,"#1090",,0
