"Session country","Session region","Session city","Online store visitors","Sessions"
"United States","Iowa","Council Bluffs",1027,1027
"Hong Kong",,,339,454
"Singapore",,"Singapore",249,266
"United States","Virginia","Ashburn",152,152
"United States","Oregon","Prineville",144,144
"United States","North Carolina","Forest City",131,131
"Hong Kong","Wan Chai","Wan Chai",10,123
"United States","Iowa","Altoona",98,98
"United States","Texas","Fort Worth",91,91
"Hong Kong",,"Hong Kong",61,72
"Australia","Victoria","Melbourne",58,63
"Australia","Queensland","Brisbane",58,62
"Australia","New South Wales","Sydney",48,54
"United States","New York","New York",27,42
"United States",,,39,40
"United States","California","Los Angeles",35,39
"Australia","Western Australia","Perth",28,35
"India","Haryana","Karnāl",2,35
"United States","Illinois","Chicago",27,30
"India",,,15,28
"United States","Texas","Houston",21,25
"China","Shanghai","Shanghai",23,23
"United States","New York","Brooklyn",20,22
"United States","Washington","Seattle",18,21
"Ukraine","Mykolaiv","Pervomaisk",2,21
"China","Guangdong","Shenzhen",12,20
"India","Telangana","Hyderabad",18,19
"Hong Kong","Kowloon City","Kowloon City",13,18
"United States","Indiana","Indianapolis",13,18
"United States","North Carolina","Charlotte",15,18
"Malaysia","Kuala Lumpur","Kuala Lumpur",6,17
"United States","Georgia","Atlanta",16,17
"United States","Minnesota","Minneapolis",16,17
"United States","Texas","Dallas",17,17
"Pakistan","Punjab","Muzaffargarh",4,16
"United States","Oregon","Boardman",16,16
"India","Punjab","Amritsar",2,16
"United States","Pennsylvania","Philadelphia",15,15
"Singapore",,,15,15
"Philippines","Davao Region","Davao City",2,14
"Australia","South Australia","Adelaide",14,14
"United States","California","San Jose",11,13
"United States","Arizona","Phoenix",13,13
"United States","Oregon","Portland",10,13
"United States","Colorado","Colorado Springs",11,12
"United States","Florida","Miami",12,12
"United States","New York","The Bronx",12,12
"China",,,12,12
"India","West Bengal","Kolkata",9,11
"Thailand","Prachuap Khiri Khan","Hua Hin",3,11
"Australia","Queensland","Toowoomba",1,11
"United States","Florida","Orlando",10,10
"United States","Ohio","Cleveland",9,10
"United States","Colorado","Denver",9,10
"Japan","Tokyo","Tokyo",8,10
"United States","Ohio","Columbus",10,10
"United States","Michigan","Detroit",9,9
"China","Guangdong","Guangzhou",9,9
"United States","Florida","Tampa",8,9
"United States","Kentucky","Lexington",6,9
"United States","Texas","San Antonio",9,9
"United States","Nebraska","Omaha",7,8
"United States","Oklahoma","Oklahoma City",6,8
"United States","New Jersey","Newark",7,8
"Malaysia",,,5,8
"United States","Nevada","Las Vegas",8,8
"Ukraine","Kyiv City","Kyiv",2,8
"United States","Alabama",,7,7
"United States","Massachusetts","Boston",7,7
"United States","Tennessee","Memphis",7,7
"Brazil","Rio de Janeiro","Rio de Janeiro",7,7
"United States","Maryland","Baltimore",6,7
"Serbia","Nišava","Niš",6,7
"United States","Colorado",,7,7
"United States","New York","Queens",6,6
"United States","Pennsylvania","Pittsburgh",6,6
"United States","Missouri","St Louis",5,6
"United States","Missouri","Kansas City",6,6
"United States","Alabama","Birmingham",6,6
"United States","Ohio","Cincinnati",5,6
"United States","New Hampshire","Salem",2,6
"Taiwan","Taipei City","Taipei",4,6
"United States","Florida","Jacksonville",6,6
"India","Haryana","Kaithal",1,5
"United States","North Carolina","Durham",2,5
"India","Chandigarh","Chandigarh",2,5
"Pakistan",,,4,5
"United States","California","Santa Clara",5,5
"India","Odisha","Bhubaneswar",5,5
"United States","California","Bakersfield",5,5
"United States","New Jersey","East Orange",2,5
"United States","Oregon","The Dalles",5,5
"United States","Ohio","Dayton",5,5
"United States","Minnesota","Saint Paul",4,5
"United States","Washington",,5,5
"United States","Texas","Austin",5,5
"United States","Kentucky","Louisville",5,5
"United States","Louisiana","New Orleans",5,5
"United States","South Carolina","North Charleston",5,5
"United States","Virginia","Roanoke",2,5
"United States","South Carolina","Charleston",5,5
"United States","Florida","Fort Lauderdale",4,4
"United States","Georgia","Decatur",4,4
"United Arab Emirates","Dubai","Dubai",3,4
"United States","Nebraska","Springfield",4,4
"United States","North Carolina","Greensboro",4,4
"Türkiye","Istanbul","Istanbul",4,4
"India","Karnataka","Bengaluru",4,4
"United States","Maryland","Gaithersburg",3,4
"Canada","Quebec","Montreal",4,4
"United States","California","Fresno",4,4
"United States","California","Ontario",3,4
"United States","Connecticut","Wallingford",1,4
"United States","Arizona","Gilbert",4,4
"United States","Utah","West Valley City",4,4
"Pakistan","Punjab","Lahore",3,4
"United States","Tennessee","Tazewell",2,4
"United States","California","Fontana",4,4
"Thailand","Phuket","Phuket",4,4
"Brazil","Bahia","Luis Eduardo Magalhães",4,4
"United States","District of Columbia","Washington",4,4
"Canada","British Columbia","Surrey",4,4
"United States","North Carolina","Hickory",1,4
"United States","California","San Diego",4,4
"Singapore",,"Jurong West",3,4
"United States","California","Sacramento",4,4
"United States","California","San Francisco",4,4
"United States","Washington","Bothell",3,3
"United States","Florida","Kissimmee",2,3
"United States","New Jersey","Clifton",2,3
"Hong Kong","Tsuen Wan District","Tsuen Wan",3,3
"Singapore",,"Kampong Loyang",1,3
"United States","Florida","Winter Garden",3,3
"United States","New York","Staten Island",2,3
"United States","Ohio","Toledo",3,3
"United States","Washington","Aberdeen",2,3
"United States","Florida","Fort Myers",3,3
"United States","Alabama","Wetumpka",3,3
"Hong Kong","Kwun Tong District","Sau Mau Ping",1,3
"United States","Texas","Burleson",3,3
"United States","Michigan","Flint",3,3
"United States","Tennessee","Nashville",3,3
"United States","Washington","Everett",2,3
"United States","Texas","Euless",2,3
"United States","South Carolina","Columbia",2,3
"United States","California","Long Beach",2,3
"Hong Kong","Kowloon City","Hung Hom",3,3
"United States","California","Stockton",3,3
"United States","Michigan","Redford",2,3
"United States","Indiana","West Lafayette",2,3
"United States","Michigan","Grand Rapids",3,3
"United States","Florida","Palm Bay",2,3
"United States","Michigan","Pontiac",3,3
"United States","Florida","Boca Raton",3,3
"United States","Florida","Naples",3,3
"United States","Kansas","Overland Park",3,3
"United States","Connecticut","Hartford",2,3
"United States","Virginia","Hampton",3,3
"United States","Georgia","Marietta",3,3
"United States","Indiana",,2,3
"United States","Georgia","Moultrie",3,3
"United States","New Mexico","Albuquerque",3,3
"India","Haryana","Safidon",1,3
"Bangladesh",,,1,3
"United States","Connecticut","Danbury",3,3
"India","National Capital Territory of Delhi","New Delhi",3,3
"United States","California","Palmdale",3,3
"Hong Kong","Yuen Long District","Tai Wai",2,3
"United States","Colorado","Fort Collins",2,3
"United States","North Carolina","Raleigh",3,3
"United States","Maryland","Silver Spring",2,3
"United States","Tennessee","Gallatin",3,3
"United States","Oklahoma","Edmond",3,3
"Taiwan",,,3,3
"United States","Washington","Tacoma",3,3
"United States","California","Tracy",1,3
"United States","New York","Huntington",1,3
"United States","Oklahoma","Norman",3,3
"United States","Texas",,3,3
"United States","Oregon","Ashland",2,3
"Vietnam","Hanoi","Hanoi",3,3
"United Kingdom","England","London",3,3
"India","Andhra Pradesh","Visakhapatnam",3,3
"United States","New Jersey","Jersey City",3,3
"United States","Washington","Auburn",2,3
"United States","Wisconsin","Green Bay",2,3
"Hong Kong","Yuen Long District","Yuen Long San Hui",3,3
"United States","Oregon","Gresham",2,2
"United States","North Carolina","Cary",2,2
"United States","Alabama","Montgomery",2,2
"Ghana","Greater Accra Region","Accra",2,2
"United States","Michigan","Royal Oak",2,2
"United States","South Carolina","Sumter",2,2
"Cambodia","Phnom Penh","Phnom Penh",2,2
"India","Gujarat","Ahmedabad",2,2
"United States","Rhode Island","West Warwick",1,2
"United States","Arizona","Tucson",2,2
"United States","Indiana","Burrows",2,2
"France","Île-de-France","Sevran",2,2
"United States","Vermont","Essex Junction",1,2
"United States","Texas","Lubbock",2,2
"Morocco",,,2,2
"United States","Kansas",,2,2
"Ireland","Leinster","Clonee",2,2
"United States","Washington","Moses Lake",1,2
"United States","North Carolina","Raeford",2,2
"United States","Arizona",,1,2
"United States","Alaska","Anchorage",2,2
"Philippines",,,2,2
"United States","Georgia","Fayetteville",2,2
"United States","New Jersey","North Bergen",2,2
"Australia","New South Wales","Wollongong",2,2
"United States","California","Nipomo",1,2
"United States","Tennessee","Murfreesboro",2,2
"United States","Texas","Nacogdoches",1,2
"United States","California","Santa Barbara",2,2
"United States","Utah","West Jordan",2,2
