"Day","Gross sales","Discounts","Returns","Net sales","Shipping charges","Return fees","Taxes","Total sales"
"2025-10-21",34.12,-5.12,0,29,4.25,0,0,33.25
"2025-10-22",0,0,0,0,0,0,0,0
"2025-10-23",0,0,0,0,0,0,0,0
"2025-10-24",0,0,-55,-55,-4.21,0,0,-59.21
"2025-10-25",101.97,-3.39,0,98.58,12.66,0,0,111.24
"2025-10-26",0,0,0,0,0,0,0,0
"2025-10-27",0,0,0,0,0,0,0,0
"2025-10-28",136.29,0,0,136.29,7.21,0,0,143.5
"2025-10-29",34.11,0,0,34.11,5.53,0,0,39.64
"2025-10-30",0,0,0,0,0,0,0,0
"2025-10-31",164.09,0,0,164.09,11.06,0,0,175.15
"2025-11-01",0,0,0,0,0,0,0,0
"2025-11-02",199.97,-25.99,0,173.98,16.59,0,0,190.57
"2025-11-03",136.06,0,0,136.06,11.06,0,0,147.12
"2025-11-04",129.99,0,0,129.99,7.21,0,0,137.2
"2025-11-05",293.97,0,0,293.97,18.27,0,0,312.24
"2025-11-06",138.27,-19.8,0,118.47,12.73,0,0,131.2
"2025-11-07",0,0,0,0,0,0,0,0
"2025-11-08",509.97,0,0,509.97,18.26,0,0,528.23
"2025-11-09",199.48,0,0,199.48,10.95,0,8.54,218.97
"2025-11-10",34.99,0,0,34.99,7.2,0,0,42.19
"2025-11-11",0,0,0,0,0,0,0,0
"2025-11-12",245.03,-8.57,0,236.46,14.54,0,0,251
"2025-11-13",33.99,0,0,33.99,7.21,0,0,41.2
"2025-11-14",35.24,0,0,35.24,4.37,0,0,39.61
"2025-11-15",279.98,0,0,279.98,0,0,0,279.98
"2025-11-16",0,0,0,0,0,0,0,0
"2025-11-17",485.95,-415.97,0,69.98,0,0,0,69.98
"2025-11-18",69.98,0,0,69.98,0,0,0,69.98
"2025-11-19",101.98,0,0,101.98,6.99,0,0,108.97
"2025-11-20",0,0,0,0,0,0,0,0
